Crime,4400 PLAINFIELD AVE,LARCENY,,NA,442,NORTHEAST,FRANKFORD,-76.55585898,39.32588826,,,,1
Crime,0 W PATAPSCO AVE,LARCENY,,NA,912,SOUTHERN,MORRELL PARK,-76.58533839,39.23241818,,,,1
Crime,1700 N MILTON AVE,AUTO THEFT,O,NA,331,EASTERN,BEREA,-76.58293505,39.3108817,,STREET,,1
Crime,0 LIGHT ST,ROBBERY - STREET,O,FIREARM,111,CENTRAL,DOWNTOWN,-76.61365169,39.28871855,,STREET,,1
Crime,2800 HINSDALE DR,BURGLARY,,NA,923,SOUTHERN,LAKELAND,-76.64454339,39.25615601,,,,1
Crime,400 N HILTON ST,AGG. ASSAULT,,FIREARM,824,SOUTHWEST,ALLENDALE,-76.67268676,39.29194286,,,,1
Crime,5900 MORAVIA RD,AGG. ASSAULT,O,OTHER,443,NORTHEAST,FRANKFORD,-76.54529047,39.3167463,,STREET,,1
Crime,1100 E NORTHERN PKWY,AUTO THEFT,,NA,522,NORTHERN,GLEN OAKS,-76.59465837,39.36671976,,,,1
Crime,3800 PALL MALL RD,AUTO THEFT,,NA,533,NORTHERN,GREENSPRING,-76.6587301,39.33304629,,,,1
Crime,5500 NOME AVE,BURGLARY,,NA,634,NORTHWEST,WOODMERE,-76.6927782,39.34744936,,,,1
Crime,400 S HIGHLAND AVE,LARCENY,,NA,225,SOUTHEAST,HUDSON-HIGHLANDTOWN,-76.56913749,39.28749487,,,,1
Crime,700 SAINT PAUL ST,LARCENY FROM AUTO,,NA,124,CENTRAL,MOUNT VERNON,-76.61411286,39.29765432,,,,1
Crime,200 REEDBIRD AV,LARCENY FROM AUTO,,NA,922,SOUTHERN,MIDDLE BRANCH/REEBIRD PARKS,-76.61619849,39.24870278,,,,1
Crime,500 E 25TH ST,BURGLARY,O,NA,513,NORTHERN,BETTER WAVERLY,-76.60819792,39.3182406,,STREET,,1
Crime,2900 GRINDON AVE,BURGLARY,,NA,421,NORTHEAST,LAURAVILLE,-76.57134029,39.34252032,,,,1
Crime,1500 WINFORD RD,AUTO THEFT,,NA,415,NORTHEAST,PERRING LOCH,-76.58829319,39.35314705,,,,1
Crime,1700 W PRATT ST,AGG. ASSAULT,,OTHER,933,SOUTHERN,NEW SOUTHWEST/MOUNT CLARE,-76.64381079,39.28522924,,,Tri-District,1
Crime,2400 FREDERICK AVE,ROBBERY - STREET,,FIREARM,835,SOUTHWEST,SHIPLEY HILL,-76.65460392,39.28424739,,,Tri-District,1
Crime,3300 PULASKI HWY,AUTO THEFT,O,NA,224,SOUTHEAST,ELLWOOD PARK/MONUMEN,-76.57047708,39.29584559,,STREET,,1
Crime,600 WYETH ST,AUTO THEFT,O,NA,932,SOUTHERN,WASHINGTON VILLAGE,-76.62959211,39.28201539,,STREET,,1
Crime,1500 LIGHT ST,LARCENY,O,NA,942,SOUTHERN,RIVERSIDE,-76.61166814,39.27254464,,OTHER - OUTSIDE,,1
Crime,900 E FORT AVE,LARCENY,I,NA,943,SOUTHERN,LOCUST POINT INDUSTRIAL AREA,-76.60110198,39.27149373,,DRUG STORE / MED  BL,,1
Crime,1600 ASHLAND AVE,LARCENY FROM AUTO,O,NA,323,EASTERN,GAY STREET,-76.59581413,39.30037281,,STREET,,1
Crime,3600 BEEHLER AVE,AUTO THEFT,O,NA,614,NORTHWEST,CENTRAL PARK HEIGHTS,-76.67491133,39.34327811,,STREET,Northwestern,1
Crime,2400 EDMONDSON AVE,LARCENY,O,NA,721,WESTERN,ROSEMONT HOMEOWNERS,-76.65487256,39.2948534,,STREET,,1
Crime,1300 N EDEN ST,LARCENY FROM AUTO,,NA,314,EASTERN,OLIVER,-76.59952673,39.30534748,,,,1
Crime,600 CHARRAWAY RD,COMMON ASSAULT,I,NA,833,SOUTHWEST,BEECHFIELD,-76.69747834,39.27426614,,ROW/TOWNHOUSE-OCC,,1
Crime,600 CHARRAWAY RD,COMMON ASSAULT,I,NA,833,SOUTHWEST,BEECHFIELD,-76.69747834,39.27426614,,ROW/TOWNHOUSE-OCC,,1
Crime,600 CHARRAWAY RD,COMMON ASSAULT,I,NA,833,SOUTHWEST,BEECHFIELD,-76.69747834,39.27426614,,ROW/TOWNHOUSE-OCC,,1
Crime,200 E SARATOGA ST,AGG. ASSAULT,I,KNIFE,111,CENTRAL,DOWNTOWN,-76.61185084,39.29248738,,APT/CONDO - OCCUPIED,,1
Crime,1200 N POTOMAC ST,AGG. ASSAULT,O,OTHER,332,EASTERN,BEREA,-76.5756982,39.30546922,,STREET,,1
Crime,0 S GREENE ST,SHOOTING,Outside,FIREARM,121,CENTRAL,UNIVERSITY OF MARYLA,-76.62369484,39.28837778,,STREET,,1
Crime,3400 NOBLE ST,LARCENY FROM AUTO,O,NA,222,SOUTHEAST,BALTIMORE HIGHLANDS,-76.56938168,39.29313124,,STREET,,1
Crime,1400 EDMONDSON AVE,ROBBERY - RESIDENCE,I,NA,713,WESTERN,HARLEM PARK,-76.63998554,39.29531895,,APT/CONDO - OCCUPIED,Central,1
Crime,2700 CYLBURN AVE,ROBBERY - COMMERCIAL,I,FIREARM,532,NORTHERN,LEVINDALE,-76.66743798,39.35069043,,ROW/TOWNHOUSE-VAC,,1
Crime,500 W LAFAYETTE AVE,COMMON ASSAULT,O,NA,123,CENTRAL,UPTON,-76.63081198,39.30192171,,STREET,Central,1
Crime,5900 MORAVIA RD,AGG. ASSAULT,,OTHER,443,NORTHEAST,FRANKFORD,-76.54529047,39.3167463,,,,1
Crime,5900 MORAVIA RD,LARCENY,,NA,443,NORTHEAST,FRANKFORD,-76.54529047,39.3167463,,,,1
Crime,0 S EUTAW ST,COMMON ASSAULT,,NA,114,CENTRAL,DOWNTOWN,-76.62081269,39.28838782,,,,1
Crime,1200 S HAVEN ST,BURGLARY,,NA,231,SOUTHEAST,CANTON INDUSTRIAL AREA,-76.56200886,39.27945059,,,,1
Crime,900 W PRATT ST,BURGLARY,I,NA,931,SOUTHERN,HOLLINS PARK,-76.63331011,39.28587342,,ROW/TOWNHOUSE-OCC,,1
Crime,500 WILSON ST,COMMON ASSAULT,O,NA,123,CENTRAL,UPTON,-76.63369487,39.30413588,,STREET,Central,1
Crime,3300 E FAYETTE ST,COMMON ASSAULT,O,NA,222,SOUTHEAST,BALTIMORE-LINWOOD,-76.57081831,39.29475958,,STREET,,1
